objid,ra,dec,u-peaks,g-peaks,r-peaks,i-peaks,u-peak-numbers,u-peak-distance,g-peak-numbers,g-peak-distance,r-peak-numbers,r-peak-distance,i-peak-numbers,i-peak-distance
1237665023838060771,203.292600024296,32.6853473756866,"[(49, 48)(44, 55)]","[(49, 50)(63, 35)]","[(50, 50)(37, 69)]","[(50, 50)(78, 7)]","[49, 48, 44, 55]",8.602325267042627,"[49, 50, 63, 35]",20.518284528683193,"[50, 50, 37, 69]",23.021728866442675,"[50, 50, 78, 7]",51.31276644267
1237665024374865968,203.305274753805,33.1097623851664,"[(46, 41)(50, 50)]","[(46, 42)(50, 50)]","[(45, 42)(50, 50)]","[(46, 41)(50, 49)]","[46, 41, 50, 50]",9.848857801796104,"[46, 42, 50, 50]",8.94427190999916,"[45, 42, 50, 50]",9.433981132056603,"[46, 41, 50, 49]",8.94427190999916
1237649918967480614,19.1165959709243,13.9015782265288,"[(51, 51)(45, 63)]","[(50, 50)(44, 63)]","[(50, 50)(44, 63)]","[(50, 50)(45, 63)]","[51, 51, 45, 63]",13.416407864998739,"[50, 50, 44, 63]",14.317821063276353,"[50, 50, 44, 63]",14.317821063276353,"[50, 50, 45, 63]",13.92838827718412
1237666299482341540,51.4117493155006,-1.02755072612003,"[(17, 17)(11, 22)]","[(33, 26)(18, 16)]","[(33, 26)(18, 16)]","[(33, 27)(19, 17)]","[17, 17, 11, 22]",7.810249675906654,"[33, 26, 18, 16]",18.027756377319946,"[33, 26, 18, 16]",18.027756377319946,"[33, 27, 19, 17]",17.204650534085253
1237659325492559961,246.842087051775,39.1096406085806,"[(49, 50)(41, 43)]","[(50, 50)(58, 56)]","[(50, 50)(37, 76)]","[(50, 50)(37, 76)]","[49, 50, 41, 43]",10.63014581273465,"[50, 50, 58, 56]",10.0,"[50, 50, 37, 76]",29.068883707497267,"[50, 50, 37, 76]",29.068883707497267
1237659324955492470,246.161392363174,39.232591876754,"[(59, 50)(51, 50)]","[(59, 50)(50, 50)]","[(59, 50)(50, 50)]","[(59, 50)(50, 49)]","[59, 50, 51, 50]",8.0,"[59, 50, 50, 50]",9.0,"[59, 50, 50, 50]",9.0,"[59, 50, 50, 49]",9.055385138137417
1237657608567783981,116.722647762786,31.0339558358168,"[(26, 31)(24, 20)]","[(25, 30)(26, 20)]","[(27, 21)(26, 31)]","[(28, 21)(26, 30)]","[26, 31, 24, 20]",11.180339887498949,"[25, 30, 26, 20]",10.04987562112089,"[27, 21, 26, 31]",10.04987562112089,"[28, 21, 26, 30]",9.219544457292887
1237657594072465514,117.604986686382,30.2256979800609,"[(32, 61)(50, 50)]","[(33, 62)(50, 50)]","[(33, 61)(50, 49)]","[(33, 61)(50, 50)]","[32, 61, 50, 50]",21.095023109728988,"[33, 62, 50, 50]",20.808652046684813,"[33, 61, 50, 49]",20.808652046684813,"[33, 61, 50, 50]",20.248456731316587
1237663543138123909,311.999737909739,-0.180037695490727,"[(22, 35)(15, 29)]","[(23, 36)(49, 50)]","[(23, 36)(49, 50)]","[(50, 50)(62, 54)]","[22, 35, 15, 29]",9.219544457292887,"[23, 36, 49, 50]",29.5296461204668,"[23, 36, 49, 50]",29.5296461204668,"[50, 50, 62, 54]",12.649110640673518
1237655464318075081,234.254306778695,50.9069212969285,"[(61, 66)(55, 58)]","[(50, 50)(61, 66)]","[(50, 50)(61, 66)]","[(50, 50)(61, 66)]","[61, 66, 55, 58]",10.0,"[50, 50, 61, 66]",19.4164878389476,"[50, 50, 61, 66]",19.4164878389476,"[50, 50, 61, 66]",19.4164878389476
