epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,678.021,1.38911,1.21345,1.38289,0.50935,0.82353,0.62613,0.37782,1.43032,1.28434,1.5646,0.00167825,0.00167825,0.00167825
67,688.064,1.38539,1.16924,1.38022,0.56844,0.87059,0.69816,0.41638,1.39394,1.27095,1.5699,0.0016733,0.0016733,0.0016733
68,698.19,1.38872,1.17708,1.36556,0.55254,0.8426,0.68078,0.39425,1.41351,1.24901,1.5696,0.00166835,0.00166835,0.00166835
69,708.221,1.33406,1.15301,1.32793,0.56756,0.8,0.66793,0.41267,1.40463,1.22993,1.56259,0.0016634,0.0016634,0.0016634
70,718.208,1.32834,1.14308,1.3486,0.45099,0.84706,0.60096,0.35288,1.40803,1.33075,1.58457,0.00165845,0.00165845,0.00165845
71,728.312,1.32768,1.11237,1.33585,0.52515,0.78824,0.66516,0.39952,1.38352,1.28314,1.5785,0.0016535,0.0016535,0.0016535
72,738.332,1.33334,1.1781,1.33126,0.51913,0.77476,0.63845,0.38836,1.49513,1.25093,1.63531,0.00164855,0.00164855,0.00164855
73,748.354,1.32638,1.12846,1.32286,0.52971,0.71558,0.6143,0.37136,1.52476,1.24567,1.66512,0.0016436,0.0016436,0.0016436
74,758.334,1.34427,1.1511,1.35379,0.54082,0.7344,0.62785,0.33467,1.73955,1.32947,1.84441,0.00163865,0.00163865,0.00163865
75,768.458,1.32684,1.13053,1.32526,0.50164,0.91187,0.65767,0.41323,1.31845,1.19319,1.50452,0.0016337,0.0016337,0.0016337
76,778.474,1.34148,1.12226,1.35856,0.54149,0.75294,0.62584,0.36729,1.47557,1.34601,1.63181,0.00162875,0.00162875,0.00162875
77,788.496,1.29752,1.11011,1.31832,0.51556,0.82353,0.65319,0.39074,1.45757,1.22041,1.59616,0.0016238,0.0016238,0.0016238
78,798.569,1.32367,1.11337,1.33411,0.60531,0.72941,0.67819,0.42276,1.32054,1.1393,1.52778,0.00161885,0.00161885,0.00161885
79,808.583,1.33109,1.15313,1.3558,0.52469,0.8,0.64508,0.38056,1.34041,1.23031,1.53547,0.0016139,0.0016139,0.0016139
80,818.614,1.30513,1.14876,1.34036,0.51964,0.8,0.61852,0.38673,1.34696,1.24791,1.51487,0.00160895,0.00160895,0.00160895
81,828.66,1.32197,1.11232,1.32128,0.5581,0.78824,0.64754,0.39428,1.36355,1.16312,1.54408,0.001604,0.001604,0.001604
82,838.758,1.31897,1.17584,1.33399,0.46853,0.74118,0.59237,0.36102,1.41113,1.38842,1.565,0.00159905,0.00159905,0.00159905
83,848.815,1.32759,1.08915,1.3373,0.55979,0.83529,0.6832,0.41765,1.31342,1.18063,1.51538,0.0015941,0.0015941,0.0015941
84,858.856,1.30602,1.14006,1.32715,0.53295,0.75178,0.61224,0.37875,1.34746,1.21862,1.55713,0.00158915,0.00158915,0.00158915
85,868.991,1.33748,1.10146,1.33636,0.55688,0.75294,0.6226,0.39214,1.39885,1.23844,1.62935,0.0015842,0.0015842,0.0015842
86,878.987,1.25764,1.10407,1.29182,0.5304,0.81057,0.62094,0.38521,1.36004,1.20428,1.57307,0.00157925,0.00157925,0.00157925
87,889.038,1.26758,1.10381,1.32258,0.59769,0.74118,0.63138,0.40189,1.32474,1.17855,1.51962,0.0015743,0.0015743,0.0015743
88,899.073,1.2701,1.06138,1.30555,0.60073,0.78824,0.696,0.40662,1.41358,1.10066,1.57161,0.00156935,0.00156935,0.00156935
89,909.207,1.27876,1.05108,1.32206,0.61953,0.74118,0.69995,0.41897,1.3343,1.14703,1.51786,0.0015644,0.0015644,0.0015644
90,919.21,1.28961,1.07242,1.31057,0.50758,0.84889,0.62178,0.38121,1.40684,1.24372,1.59315,0.00155945,0.00155945,0.00155945
91,929.256,1.27538,1.07513,1.30373,0.51219,0.80296,0.647,0.4004,1.31507,1.28673,1.51209,0.0015545,0.0015545,0.0015545
92,939.377,1.27145,1.10635,1.2854,0.56274,0.76471,0.67404,0.41466,1.42739,1.16266,1.60918,0.00154955,0.00154955,0.00154955
93,949.42,1.26846,1.04357,1.29792,0.55867,0.65882,0.6097,0.36172,1.50308,1.28032,1.64905,0.0015446,0.0015446,0.0015446
94,959.429,1.28184,1.06046,1.31737,0.53665,0.76471,0.63259,0.38129,1.33711,1.29578,1.54715,0.00153965,0.00153965,0.00153965
95,969.565,1.23295,1.03535,1.26187,0.51488,0.92941,0.67382,0.40239,1.32383,1.20528,1.50796,0.0015347,0.0015347,0.0015347
96,979.606,1.26845,1.10477,1.30954,0.54868,0.87247,0.68559,0.42515,1.3162,1.11236,1.47801,0.00152975,0.00152975,0.00152975
97,989.649,1.23934,1.06132,1.28367,0.53866,0.94783,0.66276,0.418,1.37183,1.12469,1.52342,0.0015248,0.0015248,0.0015248
98,999.64,1.28527,1.05189,1.31505,0.56451,0.87059,0.72248,0.45217,1.41759,1.23089,1.54864,0.00151985,0.00151985,0.00151985
99,1009.79,1.23419,1.05968,1.30079,0.53451,0.71765,0.69956,0.43947,1.30789,1.10415,1.48592,0.0015149,0.0015149,0.0015149
100,1019.82,1.2645,1.04892,1.29456,0.56522,0.88235,0.68942,0.40909,1.45272,1.17763,1.60353,0.00150995,0.00150995,0.00150995
101,1029.86,1.25807,1.03815,1.31011,0.55376,0.8,0.65035,0.39168,1.33303,1.2276,1.52147,0.001505,0.001505,0.001505
102,1039.98,1.26099,1.0371,1.29573,0.50133,0.77647,0.64666,0.40631,1.43166,1.17721,1.62073,0.00150005,0.00150005,0.00150005
103,1050.05,1.25658,1.03314,1.30329,0.49987,0.76471,0.60176,0.36226,1.37645,1.29421,1.56834,0.0014951,0.0014951,0.0014951
104,1060.08,1.28344,1.05802,1.29263,0.527,0.82353,0.64125,0.40666,1.37176,1.21156,1.57494,0.00149015,0.00149015,0.00149015
105,1070.15,1.2643,1.09556,1.30822,0.58855,0.71765,0.65661,0.41045,1.33377,1.11878,1.56821,0.0014852,0.0014852,0.0014852
106,1080.27,1.21773,1.01758,1.28358,0.60613,0.68235,0.66645,0.4069,1.42214,1.1522,1.57159,0.00148025,0.00148025,0.00148025
107,1090.32,1.22931,1.04842,1.27272,0.52949,0.8,0.65025,0.4019,1.40846,1.28126,1.54356,0.0014753,0.0014753,0.0014753
108,1100.37,1.24833,1.04876,1.29465,0.56477,0.82438,0.69994,0.43264,1.32796,1.20103,1.49393,0.00147035,0.00147035,0.00147035
109,1110.43,1.25817,1.03317,1.29944,0.53743,0.75294,0.65151,0.4132,1.43424,1.19361,1.62516,0.0014654,0.0014654,0.0014654
110,1120.54,1.22083,1.05188,1.2887,0.55529,0.77647,0.72516,0.43769,1.44116,1.11563,1.60076,0.00146045,0.00146045,0.00146045
111,1130.58,1.23739,1.02969,1.29136,0.49046,0.87059,0.66938,0.41306,1.31576,1.15176,1.51545,0.0014555,0.0014555,0.0014555
112,1140.6,1.22272,1.03213,1.28184,0.53715,0.8,0.67069,0.42276,1.34337,1.19252,1.53671,0.00145055,0.00145055,0.00145055
113,1150.72,1.23055,1.02881,1.28823,0.56228,0.81176,0.64831,0.38682,1.37891,1.15196,1.56581,0.0014456,0.0014456,0.0014456
